event_url,id,eventId,section,sectionMapName,row,seat,seatFrom,seatTo,seatFromInternal,availableTickets
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9732612822,157970567,643,643,14,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9739426240,157970567,612,612,14,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9751178433,157970567,613,613,14,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9751178443,157970567,613,613,15,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9637717188,157970567,643,643,10,,,,,3
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9697720686,157970567,652,652,9,8_9,8,9,8,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9714370270,157970567,602,602,8,3_4,3,4,3,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9692375766,157970567,612,612,8,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9423055162,157970567,614,614,8,8_9,8,9,8,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9269797325,157970567,615,615,8,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9676798471,157970567,601,601,13,15_16,15,16,15,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9742371439,157970567,610,610,7,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9636981635,157970567,506WC,506WC,1,14_15,,,14,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9623529649,157970567,545,545,1,15_15,,,15,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9742371448,157970567,605,605,4,,,,,3
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9599180405,157970567,605,605,2,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9519980368,157970567,501,501,3,23_23,23,23,23,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745852424,157970567,Terrace Level 642,,36,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745852430,157970567,Terrace Level 641,,36,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745852483,157970567,Terrace Level 612,,43,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745852485,157970567,Terrace Level 610,,38,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745852492,157970567,Terrace Level 611,,43,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9599180307,157970567,603,603,4,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9722258912,157970567,506,,1,19_20,19,20,19,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9599180321,157970567,602,602,5,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9599180364,157970567,652,652,5,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9558434185,157970567,559,559,3,17_18,17,18,17,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9731140075,157970567,648,648,7,15_16,,,15,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9414053457,157970567,551,551,5,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9742371330,157970567,605,605,1,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9743954456,157970567,547,547,2,,,,,5
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9592979972,157970567,515,515,3,,,,,6
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9569223097,157970567,547,547,4,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9589384889,157970567,517,517,2,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9631818407,157970567,547,547,5,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9557473111,157970567,515,515,6,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9587158617,157970567,551,551,2,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9663987878,157970567,511,511,2,,,,,6
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9662296383,157970567,517,517,4,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9722205794,157970567,551,551,3,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9732879409,157970567,513,513,3,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9497476835,157970567,511,511,4,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9733157915,157970567,549,549,4,,,,,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9631818408,157970567,513,513,5,,,,,8
