main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Sérum Clareador Theraskin Klassis TX+ com 30 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/serum-clareador-theraskin-klassis-tx-com-30-g-6035736/p,,,,174.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Espuma de Limpeza Hidratante CeraVE Sem Perfume 140g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/espuma-de-limpeza-hidratante-cerave-sem-perfume-140g-3296970/p,,,,69.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Água Micelar Hidraderm Farmax com 200 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/agua-micelar-hidraderm-farmax-com-200-ml-5153980/p,,,,20.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete em Barra Darrow Nutriol Pele Seca Rosto e Corpo com 70 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-em-barra-darrow-nutriol-pele-seca-rosto-e-corpo-com-70-g-6134424/p,,,,40.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Facial Dermotivin Soft Pele Seca Ou Sensibilizada Com 120ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-facial-dermotivin-soft-pele-seca-ou-sensibilizada-com-120ml-8766185/p,,,,57.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Shampoo Anticaspa Celamina Ultra 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/shampoo-anticaspa-celamina-ultra-200ml-3319636/p,,,,99.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Banho Profuse Hidradeep Pele Normal e Seca Com 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-banho-profuse-hidradeep-pele-normal-e-seca-com-400ml-6552803/p,,,,89.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel Para Limpeza Facial Avène Cleanance Intense 300g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-para-limpeza-facial-avene-cleanance-intense-300g-6455867/p,,,,99.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Banho Ureadin 500 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-banho-ureadin-500-ml-5394228/p,,,,85.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel Para Limpeza Facial Avène Cleanance 60ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-para-limpeza-facial-avene-cleanance-60ml-6521479/p,,,,52.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel Para Limpeza Facial Dermopure Oil Control Eucerin 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-para-limpeza-facial-dermopure-oil-control-eucerin-200ml-6031854/p,,,,83.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel Para Limpeza Facial Avène Cleanance 300ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-para-limpeza-facial-avene-cleanance-300ml-6522491/p,,,,99.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Facial para Pele Oleosa Profuse Puriance em Barra 80 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-facial-para-pele-oleosa-profuse-puriance-em-barra-80-g-8835411/p,,,,34.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Vichy Normaderm Phytosolution 150 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-normaderm-phytosolution-150-g-6033164/p,,,,79.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Fisiogel 150ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-fisiogel-150ml-6428275/p,,,,69.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete em Barra Suave Cetrilan Infantil Com 100 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-em-barra-suave-cetrilan-infantil-com-100g-7020503/p,,,,54.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Profunda Avène Cleanance Intense 400g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-profunda-avene-cleanance-intense-400g-3183726/p,,,,114.9
